,simulation_time,communication_status
0,3.324977916488,FREE
1,3.373520086434,FREE
2,3.3768572380629998,FREE
3,3.387016259327,FREE
4,3.41638318007,FREE
5,3.419826315988,FREE
6,3.428164629201,FREE
7,3.455191933722,FREE
8,3.476347247881,FREE
9,3.483601913144,FREE
10,3.495170401635,FREE
11,3.533124566961,FREE
12,3.5385023780669997,FREE
13,3.595975031867,FREE
14,3.701227264904,FREE
15,3.726304111201,FREE
16,3.8556068035299997,FREE
17,3.874302124171,FREE
18,3.876754815161,FREE
19,3.90451917087,FREE
20,3.95222741719,FREE
21,3.9694118648359997,FREE
22,3.976392141231,FREE
23,3.978222851303,FREE
24,4.002602164697,FREE
25,4.017249231956,FREE
26,4.052378923642,FREE
27,4.073192749031,FREE
28,4.0799864975719995,FREE
29,4.093243325562,FREE
30,4.156529372747,FREE
31,4.166610063472,FREE
32,4.199588659155,FREE
33,4.20141502461,FREE
34,4.2176117490589995,FREE
35,4.253796223843,FREE
36,4.261608348703,FREE
37,4.265353358729,FREE
38,4.301932899415,FREE
39,4.327702749328,FREE
40,4.352104041306,FREE
41,4.40577234354,FREE
42,4.414890919277,FREE
43,4.441450405026,FREE
44,4.468563497456,FREE
45,4.472444882425,FREE
46,4.514907565619,FREE
47,4.519054952537,FREE
48,4.5670732351,FREE
49,4.588986358732,FREE
50,4.601873965073,FREE
51,4.611359786611,FREE
52,4.625117435281,FREE
53,4.651175508935,FREE
54,4.653980683823,FREE
55,4.6581422770789995,FREE
56,4.670172138509,FREE
57,4.678067043137,FREE
58,4.733456396276,FREE
59,4.784168203816,FREE
60,4.7987021397489995,FREE
61,4.802785644319,FREE
62,4.811538921458,FREE
63,4.817944837613,FREE
64,4.822045856726,FREE
65,4.827599930741,FREE
66,4.847296037192,FREE
67,4.87422953646,FREE
68,4.912640776009,FREE
69,4.926409210911,FREE
70,4.9284857290329995,FREE
71,4.9403971822749995,FREE
72,4.983679583062,FREE
73,5.026831752002,FREE
74,5.045686164681,FREE
75,5.070515373432,FREE
76,5.0962676476699995,FREE
77,5.103287931069,FREE
78,5.1105863317689995,FREE
79,5.16917254247,FREE
80,5.185972836376,FREE
81,5.1879214654279995,FREE
82,5.310835724214,FREE
83,5.3173558014869995,FREE
84,5.325493027896,FREE
85,5.331030586152,FREE
86,5.33997001281,FREE
87,5.411443344602,FREE
88,5.427326937693,FREE
89,5.443244828077,FREE
90,5.485030915316,FREE
91,5.490342560544,FREE
92,5.518250835553,FREE
93,5.526513819708,FREE
94,5.534550299268,FREE
95,5.562230998177,FREE
96,5.583606569516,FREE
97,5.590102736127,FREE
98,5.604779587342,FREE
99,5.620074348079,FREE
100,5.666056893089,FREE
101,5.674695348409,FREE
102,5.6954954793649994,FREE
103,5.751007095452,FREE
104,5.781479817913,FREE
105,5.791740669777,FREE
106,5.798620499798,FREE
107,5.816368366272,FREE
108,5.833685353364,FREE
109,5.844274845811,FREE
110,5.924575522595,FREE
111,5.936988777399,FREE
112,5.942520325754,FREE
113,5.970570182963,FREE
