,simulation_time,communication_status
0,0.39862656366214855,FREE
1,0.4272671759342541,FREE
2,0.46837984281805345,FREE
3,0.4906891518013764,FREE
4,0.4981823395617905,FREE
5,0.7337208262251286,FREE
6,0.7343211125440008,FREE
7,0.8669771882792533,FREE
8,0.8702376088762296,FREE
9,0.9525702459658195,FREE
10,0.9612169926330262,FREE
11,0.9850773431689522,FREE
12,1.213223956207154,FREE
13,1.3693979719849834,FREE
14,1.494418359900085,FREE
15,1.604135905433525,FREE
16,1.6162031307435698,FREE
17,1.7895274281216302,FREE
18,1.8274298565327856,FREE
19,1.8621349803280958,FREE
20,1.9821898720301134,FREE
21,2.033366819333376,FREE
22,2.060941201634483,FREE
23,2.366443524212391,FREE
24,2.576431046658011,FREE
25,2.610577696664718,FREE
26,2.7714641666975646,FREE
27,2.8001298685562572,FREE
28,2.995330254150342,FREE
29,3.0557980987751545,FREE
30,3.2714102713165967,FREE
31,3.272985050649477,FREE
32,3.2961579503004823,FREE
33,3.4268196217517293,FREE
34,3.468515023741555,FREE
35,3.7181171093857683,FREE
36,3.7736531870985175,FREE
37,3.8764016606244676,FREE
38,3.9313594810185535,FREE
39,3.952661632519433,FREE
40,3.9869482983721864,FREE
41,4.127739157318919,FREE
42,4.150861768465114,FREE
43,4.181017619107373,FREE
44,4.186905292493113,FREE
45,4.250426026405917,FREE
46,4.258591651401583,FREE
47,4.290373480785602,FREE
48,4.562215084599844,FREE
49,4.661692343573057,FREE
50,4.772090277861043,FREE
51,4.892187293951503,FREE
52,5.104820058778631,FREE
53,5.131718835144624,FREE
54,5.332259403408565,FREE
55,5.542429820646737,FREE
56,5.5776290596363385,FREE
57,5.6256442212356745,FREE
58,5.745932655378425,FREE
59,5.888550285405862,FREE
60,5.959191041896575,FREE
61,6.211322012465759,FREE
62,6.2198327026055145,FREE
63,6.299577530188249,FREE
64,6.590174570810505,FREE
65,6.715644008089724,FREE
66,6.747876472879738,FREE
67,6.857972447551002,FREE
68,6.8634786619835175,FREE
69,7.023920169011961,FREE
70,7.09832628758911,FREE
71,7.150288270284194,FREE
72,7.185231082391304,FREE
73,7.440626213340201,FREE
74,7.577155439884732,FREE
75,7.591350874081643,FREE
76,7.593873293254593,FREE
77,7.713776536846975,FREE
78,7.757638556033906,FREE
79,7.837083936716325,FREE
80,7.910591410276597,FREE
81,7.957105669771107,FREE
82,7.9854328568608235,FREE
83,7.998502081760848,FREE
84,8.014983582608428,FREE
85,8.145450333929885,FREE
86,8.329502049170015,FREE
87,8.543697444182754,FREE
88,8.644740248570127,FREE
89,8.673096414717495,FREE
90,8.909775560689708,FREE
91,8.977231554148746,FREE
92,9.114171111370771,FREE
93,9.206647770495334,FREE
94,9.374426066101249,FREE
95,9.57683369498244,FREE
96,9.80384619549955,FREE
97,9.834306799759862,FREE
98,9.87532863830512,FREE
99,9.89965048433606,FREE
100,9.976384014509089,FREE
101,9.976654376130124,FREE
102,10.114830817757552,FREE
103,10.328858797529252,FREE
104,10.535058343968442,FREE
105,10.762045196116434,FREE
106,10.799855577387115,FREE
107,10.86683655088466,FREE
108,10.915887487769151,FREE
109,11.01835713937862,FREE
110,11.036529037636294,FREE
111,11.137455834211435,FREE
112,11.157221444413755,FREE
113,11.192966424566269,FREE
114,11.44736657910567,FREE
115,11.555694977784881,FREE
116,11.574429603462104,FREE
117,11.771258880679406,FREE
